fdc_id,description,brand_owner,data_type,food_category,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,cholesterol_mg,saturated_fat_g,protein_per_calorie
582984,PROTEIN BARS,PROTEIN ONE,Branded,"Snack, Energy & Granola Bars",333.0,37.0,9.26,40.7,,14.8,500.0,0.0,5.56,0.111
2509995,PROTEIN BARS,Sundia Corporation,Branded,"Snack, Energy & Granola Bars",367.0,25.0,10.0,50.0,,21.7,317.0,0.0,5.0,0.068
582982,PROTEIN BARS,PROTEIN ONE,Branded,"Snack, Energy & Granola Bars",333.0,37.0,7.41,40.7,,14.8,463.0,0.0,7.41,0.111
582986,PROTEIN BARS,PROTEIN ONE,Branded,"Snack, Energy & Granola Bars",333.0,37.0,7.41,40.7,,14.8,463.0,0.0,7.41,0.111
2708122,Nutrition bar (Snickers Marathon Protein Bar),N/A,Survey (FNDDS),Nutrition bars,415.0,25.0,12.5,50.5,,12.5,238.0,6.0,6.25,0.06
2708124,Nutrition bar (South Beach Living High Protein Bar),N/A,Survey (FNDDS),Nutrition bars,412.0,30.34,15.17,38.4,,7.3,436.0,3.0,3.384,0.074
2708118,Nutrition bar (Clif Bar),N/A,Survey (FNDDS),Nutrition bars,346.0,14.71,5.88,65.44,,7.4,195.0,0.0,1.471,0.043
2708117,Nutrition bar (Balance Original Bar),N/A,Survey (FNDDS),Nutrition bars,415.0,28.0,12.0,48.73,,3.1,253.0,1.0,1.149,0.067
2707641,"Bread, high protein, toasted",N/A,Survey (FNDDS),Yeast breads,269.0,13.3,2.42,48.13,,3.3,444.0,0.0,0.365,0.049
2707451,"Textured vegetable protein, dry",N/A,Survey (FNDDS),Soy and meat-alternative products,366.0,51.1,3.33,32.9,,17.5,2.0,0.0,0.136,0.14
2708127,"Nutrition bar or meal replacement bar, NFS",N/A,Survey (FNDDS),Nutrition bars,386.0,22.36,9.94,55.22,,4.7,320.0,4.0,2.985,0.058
2710745,"Nutritional powder mix, protein, NFS",N/A,Survey (FNDDS),Protein and nutritional powders,352.0,78.13,1.56,6.25,,3.1,156.0,16.0,0.781,0.222
2708095,Cereal or granola bar (Quaker Chewy Granola Bar),N/A,Survey (FNDDS),Cereal bars,418.0,5.65,16.57,70.2,,3.8,291.0,0.0,6.061,0.014
2708121,Nutrition bar (Slim Fast Original Meal Bar),N/A,Survey (FNDDS),Nutrition bars,386.0,16.19,8.92,60.21,,5.1,253.0,7.0,5.36,0.042
2708129,Baby Toddler bar,N/A,Survey (FNDDS),Baby food: snacks and sweets,344.0,5.43,5.3,68.63,,1.7,157.0,1.0,0.453,0.016
2707908,"Cookie, bar, with chocolate",N/A,Survey (FNDDS),Cookies and brownies,492.0,5.1,24.72,65.36,,2.0,311.0,0.0,8.091,0.01
2707929,"Cookie, fig bar",N/A,Survey (FNDDS),Cookies and brownies,348.0,3.7,7.3,70.9,,4.6,350.0,0.0,1.123,0.011
2708120,Nutrition bar (PowerBar),N/A,Survey (FNDDS),Nutrition bars,363.0,14.15,3.11,69.63,,5.7,308.0,0.0,1.32,0.039
2710147,"Fruit and vegetable smoothie, added protein",N/A,Survey (FNDDS),Smoothies and grain drinks,86.0,7.49,0.78,12.24,,1.1,36.0,3.0,0.338,0.087
2708087,Cereal or granola bar (Kellogg's Special K bar),N/A,Survey (FNDDS),Cereal bars,409.0,9.09,9.09,72.73,,1.8,428.0,0.0,0.0,0.022
2708090,Cereal or granola bar (KIND Fruit and Nut Bar),N/A,Survey (FNDDS),Cereal bars,502.0,13.89,32.28,43.74,,5.8,45.0,0.0,3.826,0.028
2708123,Nutrition bar (South Beach Living Meal Bar),N/A,Survey (FNDDS),Nutrition bars,386.0,16.19,8.92,60.21,,5.1,253.0,7.0,5.36,0.042
